,DATE,Close
325,2020-11-20,117.34
326,2020-11-21,117.34
327,2020-11-22,117.34
328,2020-11-23,113.85
329,2020-11-24,115.17
330,2020-11-25,116.03
331,2020-11-26,116.03
332,2020-11-27,116.59
333,2020-11-28,116.59
334,2020-11-29,116.59
335,2020-11-30,119.05
336,2020-12-01,122.72
337,2020-12-02,123.08
338,2020-12-03,122.94
339,2020-12-04,122.25
340,2020-12-05,122.25
341,2020-12-06,122.25
342,2020-12-07,123.75
343,2020-12-08,124.38
344,2020-12-09,121.78
345,2020-12-10,123.24
346,2020-12-11,122.41
347,2020-12-12,122.41
348,2020-12-13,122.41
349,2020-12-14,121.78
350,2020-12-15,127.88
351,2020-12-16,127.81
352,2020-12-17,128.7
353,2020-12-18,126.66
354,2020-12-19,126.66
355,2020-12-20,126.66
356,2020-12-21,128.23
357,2020-12-22,131.88
358,2020-12-23,130.96
359,2020-12-24,131.97
360,2020-12-25,131.97
361,2020-12-26,131.97
362,2020-12-27,131.97
363,2020-12-28,136.69
364,2020-12-29,134.87
365,2020-12-30,133.72
366,2020-12-31,132.69
367,2021-01-01,132.69
368,2021-01-02,132.69
369,2021-01-03,132.69
370,2021-01-04,129.41
371,2021-01-05,131.01
372,2021-01-06,126.6
373,2021-01-07,130.92
374,2021-01-08,132.05
375,2021-01-09,132.05
376,2021-01-10,132.05
377,2021-01-11,128.98
378,2021-01-12,128.8
379,2021-01-13,130.89
380,2021-01-14,128.91
381,2021-01-15,127.14
382,2021-01-16,127.14
383,2021-01-17,127.14
384,2021-01-18,127.14
385,2021-01-19,127.83
386,2021-01-20,132.03
387,2021-01-21,136.87
388,2021-01-22,139.07
389,2021-01-23,139.07
390,2021-01-24,139.07
391,2021-01-25,142.92
392,2021-01-26,143.16
393,2021-01-27,142.06
394,2021-01-28,137.09
395,2021-01-29,131.96
396,2021-01-30,131.96
397,2021-01-31,131.96
398,2021-02-01,134.14
399,2021-02-02,134.99
400,2021-02-03,133.94
401,2021-02-04,137.39
402,2021-02-05,136.76
403,2021-02-06,136.76
404,2021-02-07,136.76
405,2021-02-08,136.91
406,2021-02-09,136.01
407,2021-02-10,135.39
408,2021-02-11,135.13
409,2021-02-12,135.37
410,2021-02-13,135.37
411,2021-02-14,135.37
412,2021-02-15,135.37
413,2021-02-16,133.19
414,2021-02-17,130.84
415,2021-02-18,129.71
416,2021-02-19,129.87
417,2021-02-20,129.87
418,2021-02-21,129.87
419,2021-02-22,126.0
420,2021-02-23,125.86
421,2021-02-24,125.35
422,2021-02-25,120.99
423,2021-02-26,121.26
424,2021-02-27,121.26
